Success	Funny	Sex	Good_Mate	Gender
Get Phone Number	3	7	6	Male
Go Home with Person	5	7	2	Male
Get Phone Number	4	6	6	Male
Go Home with Person	3	7	5	Male
Get Phone Number	5	1	6	Male
Get Phone Number	4	7	5	Male
Go Home with Person	5	8	6	Male
No response/Walk Off	5	7	6	Male
Get Phone Number	3	6	9	Male
Get Phone Number	4	7	6	Male
No response/Walk Off	4	6	6	Male
No response/Walk Off	3	6	6	Male
Get Phone Number	5	7	6	Male
Get Phone Number	8	6	7	Male
No response/Walk Off	2	5	5	Male
Get Phone Number	5	4	6	Male
No response/Walk Off	3	2	6	Male
Get Phone Number	2	6	6	Male
Get Phone Number	1	6	6	Male
Get Phone Number	3	6	6	Male
Get Phone Number	1	6	5	Male
Go Home with Person	4	7	5	Male
No response/Walk Off	2	6	7	Male
Get Phone Number	4	6	6	Male
Go Home with Person	2	3	6	Male
No response/Walk Off	3	5	7	Male
Get Phone Number	5	6	7	Male
Get Phone Number	2	6	6	Male
Go Home with Person	2	7	5	Male
Get Phone Number	4	6	1	Male
Get Phone Number	5	7	6	Male
Go Home with Person	3	6	6	Male
Get Phone Number	3	6	5	Male
Get Phone Number	3	7	6	Male
Get Phone Number	2	6	6	Male
Get Phone Number	3	7	8	Male
Get Phone Number	3	8	6	Male
Get Phone Number	4	6	5	Male
Get Phone Number	3	5	2	Male
Get Phone Number	5	7	7	Male
No response/Walk Off	4	3	6	Male
No response/Walk Off	1	6	1	Male
No response/Walk Off	3	7	4	Male
Go Home with Person	3	2	7	Male
Get Phone Number	4	7	6	Male
No response/Walk Off	6	6	5	Male
Go Home with Person	3	7	6	Male
Get Phone Number	2	7	6	Male
No response/Walk Off	2	7	6	Male
No response/Walk Off	1	3	9	Male
Get Phone Number	3	7	6	Male
Get Phone Number	3	6	5	Male
Get Phone Number	1	5	5	Male
Get Phone Number	3	6	6	Male
Get Phone Number	6	6	8	Male
Get Phone Number	3	8	6	Male
Get Phone Number	2	6	7	Male
