PSWQ	Anxious	Previous	Scored
18	21	56	Scored Penalty
17	32	35	Scored Penalty
16	34	35	Scored Penalty
14	40	15	Scored Penalty
5	24	47	Scored Penalty
1	15	67	Scored Penalty
4	10	75	Scored Penalty
12	19	53	Scored Penalty
11	29	35	Scored Penalty
15	14	65	Scored Penalty
23	5	85	Scored Penalty
11	6	86	Scored Penalty
14	34	23	Scored Penalty
22	27	46	Scored Penalty
12	26	46	Scored Penalty
5	16	67	Scored Penalty
6	14	67	Scored Penalty
4	5	84	Scored Penalty
7	10	74	Scored Penalty
8	13	64	Scored Penalty
12	19	55	Scored Penalty
14	26	46	Scored Penalty
13	27	43	Scored Penalty
1	29	35	Scored Penalty
7	30	35	Scored Penalty
10	31	33	Scored Penalty
15	26	45	Scored Penalty
16	28	35	Scored Penalty
18	10	74	Scored Penalty
17	8	76	Scored Penalty
14	12	75	Scored Penalty
20	24	44	Scored Penalty
18	23	47	Scored Penalty
2	16	65	Scored Penalty
6	14	66	Scored Penalty
4	19	55	Scored Penalty
4	18	56	Scored Penalty
2	17	64	Scored Penalty
4	20	53	Scored Penalty
1	23	47	Scored Penalty
20	26	45	Missed Penalty
25	29	35	Missed Penalty
16	21	55	Missed Penalty
18	34	24	Missed Penalty
17	38	15	Missed Penalty
29	39	15	Missed Penalty
24	46	4	Missed Penalty
25	49	0	Missed Penalty
22	47	0	Missed Penalty
26	42	5	Missed Penalty
23	41	16	Missed Penalty
25	40	18	Missed Penalty
28	35	24	Missed Penalty
18	36	23	Missed Penalty
17	31	34	Missed Penalty
14	35	24	Missed Penalty
15	42	16	Missed Penalty
11	20	56	Missed Penalty
10	24	42	Missed Penalty
15	19	56	Missed Penalty
14	18	56	Missed Penalty
16	34	24	Missed Penalty
17	35	24	Missed Penalty
25	36	26	Missed Penalty
24	32	33	Missed Penalty
17	35	24	Missed Penalty
27	39	16	Missed Penalty
28	38	15	Missed Penalty
27	41	14	Missed Penalty
25	42	14	Missed Penalty
26	45	8	Missed Penalty
22	48	0	Missed Penalty
28	49	0	Missed Penalty
28	46	4	Missed Penalty
24	26	45	Missed Penalty
