adverts	sales
10.256	330
985.685	120
1445.563	360
1188.193	270
574.513	220
568.954	170
471.814	70
537.352	210
514.068	200
174.093	300
1720.806	290
611.479	70
251.192	150
97.972	190
406.814	240
265.398	100
1323.287	250
196.65	210
1326.598	280
1380.689	230
792.345	210
957.167	230
1789.659	320
656.137	210
613.697	230
313.362	250
336.51	60
1544.899	330
68.954	150
785.692	150
125.628	180
377.925	80
217.994	180
759.862	130
1163.444	320
842.957	280
125.179	200
236.598	130
669.811	190
612.234	150
922.019	230
50	310
2000	340
1054.027	240
385.045	180
1507.972	220
102.568	40
204.568	190
1170.918	290
689.547	340
784.22	250
405.913	190
179.778	120
607.258	230
1542.329	190
1112.47	210
856.985	170
836.331	310
236.908	90
1077.855	140
579.321	300
1500	340
731.364	170
25.689	100
391.749	200
233.999	80
275.7	100
56.895	70
255.117	50
566.501	240
102.568	160
250.568	290
68.594	140
642.786	210
1500	300
102.563	230
756.984	280
51.229	160
644.151	200
15.313	110
243.237	110
256.894	70
22.464	100
45.689	190
724.938	70
1126.461	360
1985.119	360
1837.516	300
135.986	120
237.703	150
976.641	220
1452.689	280
1600	300
268.598	140
900.889	290
982.063	180
201.356	140
746.024	210
1132.877	250
1000	250
75.896	120
1351.254	290
202.705	60
365.985	140
305.268	290
263.268	160
513.694	100
152.609	160
35.987	150
102.568	140
215.368	230
426.784	230
507.772	30
233.291	80
1035.433	190
102.642	90
526.142	120
624.538	150
912.349	230
215.994	150
561.963	210
474.76	180
231.523	140
678.596	360
70.922	10
1567.548	240
263.598	270
1423.568	290
715.678	220
777.237	230
509.43	220
964.11	240
583.627	260
923.373	170
344.392	130
1095.578	270
100.025	140
30.425	60
1080.342	210
799.899	210
1071.752	240
893.355	210
283.161	200
917.017	140
234.568	90
456.897	120
206.973	100
1294.099	360
826.859	180
564.158	150
192.607	110
10.652	90
45.689	160
42.568	230
20.456	40
635.192	60
1002.273	230
1177.047	230
507.638	120
215.689	150
526.48	120
26.895	60
883.877	280
9.104	120
103.568	230
169.583	230
429.504	40
223.639	140
145.585	360
985.968	210
500.922	260
226.652	250
1051.168	200
68.093	150
1547.159	250
393.774	100
804.282	260
801.577	210
450.562	290
26.598	220
179.061	70
345.687	110
295.84	250
2271.86	320
1134.575	300
601.434	180
45.298	180
759.518	200
832.869	320
56.894	140
709.399	100
56.895	120
767.134	230
503.172	150
700.929	250
910.851	190
888.569	240
800.615	250
1500	230
785.694	110
