ticknumb	music	day1	day2	day3	change
2111	Metaller	2.65	1.35	1.61	-1.04
2229	Crusty	.97	1.41	.29	-.68
2338	No Musical Affiliation	.84	 	 	 
2384	Crusty	3.03	 	 	 
2401	No Musical Affiliation	.88	.08	 	 
2405	Crusty	.85	 	 	 
2467	Indie Kid	1.56	 	 	 
2478	Indie Kid	3.02	 	 	 
2490	Crusty	2.29	 	 	 
2504	No Musical Affiliation	1.11	.44	.55	-.56
2509	No Musical Affiliation	2.17	 	 	 
2510	Crusty	.82	.2	.47	-.35
2514	Metaller	1.41	 	 	 
2515	No Musical Affiliation	1.76	1.64	1.58	-.18
2520	No Musical Affiliation	1.38	.02	 	 
2521	Crusty	2.79	 	 	 
2529	Crusty	1.5	 	 	 
2533	Metaller	1.91	2.05	 	 
2535	Metaller	2.32	 	 	 
2538	No Musical Affiliation	2.05	 	 	 
2549	Crusty	2.17	.7	.76	-1.41
2551	No Musical Affiliation	2.05	 	 	 
2558	No Musical Affiliation	1.61	 	 	 
2562	No Musical Affiliation	1.66	.85	 	 
2565	Indie Kid	2.3	 	 	 
2566	No Musical Affiliation	2.76	 	 	 
2568	Crusty	1.44	 	 	 
2586	Metaller	1.06	 	 	 
2601	Crusty	3.23	 	 	 
2602	Indie Kid	.97	.38	.76	-.21
2604	Crusty	2.57	.11	.02	-2.55
2606	Crusty	.26	 	 	 
2609	Crusty	.47	 	 	 
2611	No Musical Affiliation	1.73	 	 	 
2612	No Musical Affiliation	1.94	.82	1.67	-.27
2616	Crusty	1.91	 	 	 
2624	No Musical Affiliation	2.08	.91	.96	-1.12
2633	Crusty	1.91	 	 	 
2642	No Musical Affiliation	1.42	 	 	 
2644	No Musical Affiliation	1.5	 	 	 
2662	Metaller	.11	 	 	 
2663	Crusty	1.67	 	 	 
2664	No Musical Affiliation	2.08	 	 	 
2669	No Musical Affiliation	2.05	 	 	 
2670	Metaller	2	 	 	 
2675	No Musical Affiliation	1.52	 	 	 
2676	Metaller	1.58	 	 	 
2677	Indie Kid	1.28	.38	.14	-1.14
2681	No Musical Affiliation	1.88	 	 	 
2685	No Musical Affiliation	1.32	 	 	 
2686	No Musical Affiliation	2.09	 	 	 
2687	Metaller	2	 	 	 
2688	Indie Kid	2.64	 	 	 
2689	No Musical Affiliation	.85	.32	.52	-.33
2692	Indie Kid	2.47	.23	.38	-2.09
2698	Crusty	1.79	 	 	 
2709	Indie Kid	1.64	 	 	 
2710	No Musical Affiliation	1.32	 	 	 
2712	Metaller	2.97	 	 	 
2726	Metaller	1.44	.14	 	 
2727	No Musical Affiliation	2.02	 	 	 
2728	Metaller	1.79	 	 	 
2730	No Musical Affiliation	1.34	 	 	 
2731	Crusty	2.29	1.9	 	 
2732	No Musical Affiliation	1.66	 	 	 
2734	No Musical Affiliation	.6	 	 	 
2735	No Musical Affiliation	1.76	.76	.29	-1.47
