gender	film	arousal
Male	Bridget Jones' Diary	22
Male	Bridget Jones' Diary	13
Male	Bridget Jones' Diary	16
Male	Bridget Jones' Diary	10
Male	Bridget Jones' Diary	18
Male	Bridget Jones' Diary	24
Male	Bridget Jones' Diary	13
Male	Bridget Jones' Diary	14
Male	Bridget Jones' Diary	19
Male	Bridget Jones' Diary	23
Male	Memento	37
Male	Memento	20
Male	Memento	16
Male	Memento	28
Male	Memento	27
Male	Memento	18
Male	Memento	32
Male	Memento	24
Male	Memento	21
Male	Memento	35
Female	Bridget Jones' Diary	3
Female	Bridget Jones' Diary	15
Female	Bridget Jones' Diary	5
Female	Bridget Jones' Diary	16
Female	Bridget Jones' Diary	13
Female	Bridget Jones' Diary	20
Female	Bridget Jones' Diary	11
Female	Bridget Jones' Diary	19
Female	Bridget Jones' Diary	15
Female	Bridget Jones' Diary	7
Female	Memento	30
Female	Memento	25
Female	Memento	31
Female	Memento	36
Female	Memento	23
Female	Memento	14
Female	Memento	21
Female	Memento	31
Female	Memento	22
Female	Memento	14
