id	NPQC_R_Total	Rating_Type	Rating
1	31	Attractive	2
1	31	Fashionable	2
1	31	Glamourous	2
1	31	Cool	2
2	37	Attractive	2
2	37	Fashionable	2
2	37	Glamourous	2
2	37	Cool	2
5	44.47	Attractive	3
5	44.47	Fashionable	3
5	44.47	Glamourous	3
5	44.47	Cool	3
6	30	Attractive	1
6	30	Fashionable	3
6	30	Glamourous	3
6	30	Cool	3
7	28	Fashionable	3
7	28	Cool	3
7	28	Attractive	4
7	28	Glamourous	4
13	42	Attractive	5
13	42	Fashionable	5
13	42	Glamourous	5
13	42	Cool	5
14	23.47	Attractive	3
14	23.47	Fashionable	3
14	23.47	Glamourous	3
14	23.47	Cool	3
15	28	Fashionable	1
15	28	Attractive	2
15	28	Glamourous	2
15	28	Cool	2
18	44	Attractive	3
18	44	Fashionable	3
18	44	Glamourous	3
18	44	Cool	3
21	40	Cool	2
21	40	Attractive	4
21	40	Glamourous	4
21	40	Fashionable	5
22	32.46	Attractive	3
22	32.46	Fashionable	3
22	32.46	Glamourous	3
22	32.46	Cool	3
23	24	Attractive	1
23	24	Fashionable	1
23	24	Glamourous	1
23	24	Cool	5
24	38	Attractive	3
24	38	Fashionable	3
24	38	Cool	3
24	38	Glamourous	4
25	19	Attractive	3
25	19	Fashionable	3
25	19	Glamourous	3
25	19	Cool	3
27	22	Attractive	3
27	22	Fashionable	3
27	22	Glamourous	3
27	22	Cool	3
28	48	Attractive	3
28	48	Fashionable	3
28	48	Glamourous	3
28	48	Cool	3
31	22	Attractive	1
31	22	Fashionable	1
31	22	Glamourous	1
31	22	Cool	1
32	26	Fashionable	2
32	26	Glamourous	2
32	26	Cool	2
32	26	Attractive	3
33	33	Attractive	3
33	33	Fashionable	3
33	33	Glamourous	3
33	33	Cool	3
34	26	Attractive	3
34	26	Fashionable	3
34	26	Glamourous	3
34	26	Cool	3
35	22	Fashionable	2
35	22	Attractive	3
35	22	Glamourous	3
35	22	Cool	5
36	31	Attractive	3
36	31	Fashionable	3
36	31	Glamourous	3
36	31	Cool	3
37	50	Attractive	4
37	50	Glamourous	4
37	50	Cool	4
37	50	Fashionable	5
39	37	Fashionable	3
39	37	Glamourous	3
39	37	Cool	3
39	37	Attractive	4
45	30	Fashionable	2
45	30	Glamourous	2
45	30	Cool	2
45	30	Attractive	3
46	33	Fashionable	2
46	33	Glamourous	3
46	33	Attractive	4
46	33	Cool	5
48	38	Attractive	3
48	38	Fashionable	3
48	38	Cool	3
48	38	Glamourous	4
50	30	Attractive	3
50	30	Fashionable	4
50	30	Glamourous	4
50	30	Cool	4
51	45	Attractive	2
51	45	Fashionable	2
51	45	Glamourous	2
51	45	Cool	3
53	23	Attractive	1
53	23	Fashionable	1
53	23	Glamourous	1
53	23	Cool	1
54	30	Cool	2
54	30	Attractive	3
54	30	Fashionable	3
54	30	Glamourous	3
55	39	Attractive	3
55	39	Fashionable	3
55	39	Glamourous	3
55	39	Cool	3
56	21	Attractive	1
56	21	Glamourous	1
56	21	Cool	1
56	21	Fashionable	2
59	31	Attractive	3
59	31	Fashionable	3
59	31	Glamourous	3
59	31	Cool	4
60	41	Cool	2
60	41	Attractive	3
60	41	Fashionable	3
60	41	Glamourous	3
62	38	Fashionable	1
62	38	Glamourous	1
62	38	Cool	2
62	38	Attractive	3
66	35	Fashionable	2
66	35	Glamourous	2
66	35	Attractive	3
66	35	Cool	3
67	26	Attractive	2
67	26	Fashionable	2
67	26	Glamourous	2
67	26	Cool	2
68	35	Attractive	3
68	35	Glamourous	3
68	35	Fashionable	5
68	35	Cool	5
69	48	Fashionable	2
69	48	Glamourous	3
69	48	Attractive	4
69	48	Cool	4
70	23	Glamourous	1
70	23	Attractive	2
70	23	Fashionable	2
70	23	Cool	3
71	41	Fashionable	3
71	41	Glamourous	4
71	41	Cool	4
71	41	Attractive	5
72	36	Attractive	3
72	36	Fashionable	3
72	36	Glamourous	3
72	36	Cool	3
73	29	Attractive	3
73	29	Fashionable	3
73	29	Glamourous	3
73	29	Cool	3
74	34	Attractive	2
74	34	Glamourous	2
74	34	Fashionable	3
74	34	Cool	3
75	50	Attractive	3
75	50	Glamourous	3
75	50	Fashionable	4
75	50	Cool	4
76	36	Attractive	3
76	36	Fashionable	3
76	36	Glamourous	3
76	36	Cool	4
77	27	Attractive	3
77	27	Fashionable	3
77	27	Glamourous	3
77	27	Cool	3
78	31	Attractive	3
78	31	Fashionable	3
78	31	Glamourous	3
78	31	Cool	3
79	35	Fashionable	3
79	35	Cool	3
79	35	Attractive	4
79	35	Glamourous	4
80	25	Fashionable	2
80	25	Glamourous	2
80	25	Cool	2
80	25	Attractive	3
81	23	Attractive	3
81	23	Fashionable	3
81	23	Glamourous	3
81	23	Cool	3
82	32	Attractive	1
82	32	Fashionable	1
82	32	Glamourous	1
82	32	Cool	3
83	32	Attractive	3
83	32	Fashionable	3
83	32	Glamourous	3
83	32	Cool	4
84	32	Attractive	3
84	32	Fashionable	3
84	32	Glamourous	3
84	32	Cool	3
85	25	Glamourous	2
85	25	Attractive	3
85	25	Fashionable	3
85	25	Cool	3
86	36	Cool	2
86	36	Attractive	3
86	36	Fashionable	3
86	36	Glamourous	3
87	37	Attractive	3
87	37	Fashionable	3
87	37	Glamourous	3
87	37	Cool	3
88	33	Attractive	3
88	33	Fashionable	3
88	33	Glamourous	3
88	33	Cool	3
89	19	Attractive	2
89	19	Fashionable	2
89	19	Glamourous	2
89	19	Cool	2
90	25	Fashionable	1
90	25	Glamourous	1
90	25	Cool	1
90	25	Attractive	2
91	36	Fashionable	1
91	36	Cool	1
91	36	Attractive	2
91	36	Glamourous	2
92	33	Attractive	3
92	33	Fashionable	3
92	33	Glamourous	3
92	33	Cool	3
93	29	Attractive	3
93	29	Fashionable	3
93	29	Glamourous	3
93	29	Cool	3
94	31	Attractive	1
94	31	Fashionable	1
94	31	Glamourous	1
94	31	Cool	1
98	34	Attractive	3
98	34	Fashionable	3
98	34	Glamourous	3
98	34	Cool	3
99	34	Glamourous	4
99	34	Cool	4
99	34	Attractive	5
99	34	Fashionable	5
100	26	Attractive	1
100	26	Fashionable	1
100	26	Glamourous	1
100	26	Cool	1
101	20	Attractive	1
101	20	Glamourous	1
101	20	Fashionable	2
101	20	Cool	3
102	36.41	Attractive	2
102	36.41	Fashionable	3
102	36.41	Glamourous	3
102	36.41	Cool	4
103	28.46	Attractive	5
103	28.46	Fashionable	5
103	28.46	Glamourous	5
103	28.46	Cool	5
104	45	Fashionable	3
104	45	Glamourous	3
104	45	Attractive	4
104	45	Cool	5
105	28	Attractive	2
105	28	Glamourous	2
105	28	Fashionable	3
105	28	Cool	3
107	29	Fashionable	2
107	29	Cool	2
107	29	Attractive	3
107	29	Glamourous	3
109	36	Attractive	3
109	36	Fashionable	3
109	36	Glamourous	3
109	36	Cool	3
110	42	Fashionable	1
110	42	Glamourous	2
110	42	Attractive	3
110	42	Cool	3
111	27.44	Cool	1
111	27.44	Attractive	2
111	27.44	Fashionable	2
111	27.44	Glamourous	2
112	23	Glamourous	1
112	23	Attractive	2
112	23	Fashionable	2
112	23	Cool	2
114	40.52	Fashionable	1
114	40.52	Glamourous	1
114	40.52	Attractive	2
114	40.52	Cool	2
116	41	Attractive	3
116	41	Glamourous	3
116	41	Cool	3
116	41	Fashionable	4
117	17	Attractive	1
117	17	Fashionable	1
117	17	Glamourous	1
117	17	Cool	1
119	39	Glamourous	2
119	39	Attractive	3
119	39	Fashionable	3
119	39	Cool	3
120	24	Attractive	3
120	24	Fashionable	3
120	24	Glamourous	3
120	24	Cool	3
121	50	Attractive	3
121	50	Glamourous	3
121	50	Fashionable	4
121	50	Cool	5
123	35	Attractive	3
123	35	Fashionable	3
123	35	Glamourous	3
123	35	Cool	3
124	21	Attractive	1
124	21	Glamourous	1
