Country,fertility_rate,contraception,region
Afghanistan,6.9,NA,Asia
Albania,2.6,NA,Europe
Algeria,3.81,52,Africa
American-Samoa,NA,NA,Oceania
Andorra,NA,NA,Europe
Angola,6.69,NA,Africa
Antigua,NA,53,Americas
Argentina,2.62,NA,Americas
Armenia,1.7,22,Europe
Australia,1.89,76,Oceania
Austria,1.42,71,Europe
Azerbaijan,2.3,17,Asia
Bahamas,1.95,62,Americas
Bahrain,2.97,53,Asia
Bangladesh,3.14,49,Asia
Barbados,1.73,55,Americas
Belarus,1.4,50,Europe
Belgium,1.62,79,Europe
Belize,3.66,47,Americas
Benin,5.83,16,Africa
Bhutan,5.89,19,Asia
Bolivia,4.36,45,Americas
Bosnia,1.4,NA,Europe
Botswana,4.45,33,Africa
Brazil,2.17,74,Americas
Brunei,2.7,NA,Asia
Bulgaria,1.45,NA,Europe
Burkina-Faso,6.57,8,Africa
Burundi,6.28,9,Africa
Cambodia,4.5,NA,Asia
Cameroon,5.3,16,Africa
Canada,1.61,66,Americas
Cape-Verde,3.56,NA,Africa
Central-African-Rep,4.95,24,Africa
Chad,5.51,NA,Africa
Chile,2.44,30,Americas
China,1.8,83,Asia
Colombia,2.69,72,Americas
Comoros,5.51,21,Africa
Congo,5.87,NA,Africa
Cook-Islands,3.5,38,Oceania
Costa-Rica,2.95,75,Americas
Croatia,1.6,NA,Europe
Cuba,1.55,70,Americas
Cyprus,2.31,NA,Europe
Czech-Republic,1.4,69,Europe
Dem-Rep-of-the-Congo,6.24,8,Africa
Denmark,1.82,78,Europe
Djibouti,5.39,NA,Africa
Dominica,NA,50,Americas
Dominican-Republic,2.8,64,Americas
East-Timor,4.32,NA,Oceania
Ecuador,3.1,57,Americas
Egypt,3.4,47,Africa
El-Salvador,3.09,53,Americas
Equatorial-Guinea,5.51,NA,Africa
Eritrea,5.34,5,Africa
Estonia,1.3,70,Europe
Ethiopia,7,4,Africa
Fiji,2.76,40,Oceania
Finland,1.83,NA,Europe
France,1.63,77,Europe
French-Guiana,NA,NA,Americas
French-Polynesia,2.85,NA,Oceania
Gabon,5.4,NA,Africa
Gambia,5.2,12,Africa
Gaza-Strip,8,NA,Asia
Georgia,1.9,17,Europe
Germany,1.3,75,Europe
Ghana,5.28,20,Africa
Greece,1.38,NA,Europe
Grenada,NA,54,Americas
Guadeloupe,2.1,NA,Americas
Guam,3.04,NA,Oceania
Guatemala,4.9,31,Americas
Guinea,6.61,2,Africa
Guinea-Bissau,5.42,NA,Africa
Guyana,2.32,NA,Americas
Haiti,4.6,18,Americas
Honduras,4.3,47,Americas
Hong-Kong,1.32,86,Asia
Hungary,1.4,73,Europe
Iceland,2.19,NA,Europe
India,3.07,41,Asia
Indonesia,2.63,55,Oceania
Iran,4.77,65,Asia
Iraq,5.25,14,Asia
Ireland,1.8,NA,Europe
Israel,2.75,NA,Asia
Italy,1.19,NA,Europe
Ivory-Coast,5.1,11,Africa
Jamaica,2.44,62,Americas
Japan,1.48,59,Oceania
Jordan,5.13,35,Asia
Kazakhstan,2.3,59,Asia
Kenya,4.85,33,Africa
Kiribati,3.8,37,Oceania
Korea-Dem-Peoples-Rep,2.1,62,Asia
Korea-Republic-of,1.65,79,Asia
Kuwait,2.77,35,Asia
Kyrgyzstan,3.21,31,Asia
Laos,6.69,19,Asia
Latvia,1.4,47,Europe
Lebanon,2.75,NA,Asia
Lesotho,4.86,23,Africa
Liberia,6.33,6,Africa
Libya,5.92,40,Africa
Liechtenstein,1.45,NA,Europe
Lithuania,1.5,59,Europe
Luxembourg,1.76,NA,Europe
Macau,1.6,NA,Asia
Macedonia,1.9,NA,Europe
Madagascar,5.65,17,Africa
Malawi,6.69,22,Africa
Malaysia,3.24,48,Oceania
Maldives,6.8,NA,Asia
Mali,6.6,7,Africa
Malta,2.1,NA,Europe
Marshall-Islands,4.49,27,Oceania
Martinique,2,NA,Americas
Mauritania,5.03,3,Africa
Mauritius,2.28,75,Africa
Mexico,2.75,53,Americas
Micronesia,5.6,NA,Oceania
Moldova,1.8,22,Europe
Monaco,NA,NA,Europe
Mongolia,3.27,61,Asia
Morocco,3.1,50,Africa
Mozambique,6.06,NA,Africa
Myanmar,3.3,17,Asia
Namibia,4.9,29,Africa
Nepal,4.95,29,Asia
Netherlands,1.55,78,Europe
Netherlands-Antilles,2.1,NA,Americas
New-Caledonia,2.53,25,Oceania
New-Zealand,2.02,69,Oceania
Nicaragua,3.85,49,Americas
Niger,7.1,4,Africa
Nigeria,5.97,6,Africa
Northern-Mariana-Islands,5.11,NA,Oceania
Norway,1.88,76,Europe
Oman,7.2,9,Asia
Pakistan,5.02,18,Asia
Palau,3,NA,Oceania
Panama,2.63,64,Americas
Papua-New-Guinea,4.65,NA,Oceania
Paraguay,4.17,56,Americas
Peru,2.98,64,Americas
Philippines,3.62,40,Oceania
Poland,1.65,NA,Europe
Portugal,1.48,66,Europe
Puerto-Rico,2.1,64,Americas
Qatar,3.77,32,Asia
Reunion,2.1,67,Africa
Romania,1.4,57,Europe
Russia,1.35,32,Europe
Rwanda,6,21,Africa
Saint-Kitts,2.63,41,Americas
Saint-Lucia,3.82,47,Americas
Samoa,3.8,34,Oceania
San-Marino,NA,NA,Europe
Sao-Tome,NA,NA,Africa
Saudi-Arabia,5.9,NA,Asia
Senegal,5.62,13,Africa
Seychelles,2.59,NA,Africa
Sierra-Leone,6.06,NA,Africa
Singapore,1.79,74,Oceania
Slovakia,1.5,74,Europe
Slovenia,1.3,NA,Europe
Solomon-Islands,4.98,NA,Oceania
Somalia,7,NA,Africa
South-Africa,3.81,50,Africa
Spain,1.22,59,Europe
Sri-Lanka,2.1,66,Asia
St-Vincent,3.86,58,Americas
Sudan,4.61,8,Africa
Suriname,2.39,NA,Americas
Swaziland,4.46,20,Africa
Sweden,1.8,78,Europe
Switzerland,1.46,71,Europe
Syria,4,36,Asia
Tajikistan,3.93,21,Asia
Tanzania,5.48,18,Africa
Thailand,1.74,74,Asia
Togo,6.08,12,Africa
Tonga,4.02,74,Oceania
Trinidad-and-Tobago,2.1,53,Americas
Tunisia,2.92,60,Africa
Turkey,2.5,63,Asia
Turkmenistan,3.58,20,Asia
Tuvalu,NA,NA,Oceania
Uganda,7.1,15,Africa
Ukraine,1.38,23,Europe
United-Arab-Emirates,3.46,NA,Asia
United-Kingdom,1.72,82,Europe
United-States,1.96,71,Americas
Uruguay,2.25,NA,Americas
Uzbekistan,3.48,56,Asia
Vanuatu,4.36,15,Oceania
